episode_id,show_id,season_number,episode_number,episode_title,duration_minutes
1,1,1,1,Episode 1,48
2,1,1,2,Episode 2,50
3,1,1,3,Episode 3,46
4,1,1,4,Episode 4,52
5,1,1,5,Episode 5,49
6,2,1,1,Episode 1,48
7,2,1,2,Episode 2,50
8,2,1,3,Episode 3,46
9,2,1,4,Episode 4,52
10,2,1,5,Episode 5,49
11,3,1,1,Episode 1,48
12,3,1,2,Episode 2,50
13,3,1,3,Episode 3,46
14,3,1,4,Episode 4,52
15,3,1,5,Episode 5,49
16,4,1,1,Episode 1,48
17,4,1,2,Episode 2,50
18,4,1,3,Episode 3,46
19,4,1,4,Episode 4,52
20,4,1,5,Episode 5,49
21,5,1,1,Episode 1,48
22,5,1,2,Episode 2,50
23,5,1,3,Episode 3,46
24,5,1,4,Episode 4,52
25,5,1,5,Episode 5,49
26,6,1,1,Full Movie,169
27,7,1,1,Full Movie,170
28,8,1,1,Full Movie,155
29,9,1,1,Episode 1,48
30,9,1,2,Episode 2,50
31,9,1,3,Episode 3,46
32,9,1,4,Episode 4,52
33,9,1,5,Episode 5,49
34,10,1,1,Episode 1,48
35,10,1,2,Episode 2,50
36,10,1,3,Episode 3,46
37,10,1,4,Episode 4,52
38,10,1,5,Episode 5,49
39,11,1,1,Episode 1,48
40,11,1,2,Episode 2,50
41,11,1,3,Episode 3,46
42,11,1,4,Episode 4,52
43,11,1,5,Episode 5,49
44,12,1,1,Episode 1,48
45,12,1,2,Episode 2,50
46,12,1,3,Episode 3,46
47,12,1,4,Episode 4,52
48,12,1,5,Episode 5,49
49,13,1,1,Episode 1,48
50,13,1,2,Episode 2,50
51,13,1,3,Episode 3,46
52,13,1,4,Episode 4,52
53,13,1,5,Episode 5,49
54,14,1,1,Episode 1,48
55,14,1,2,Episode 2,50
56,14,1,3,Episode 3,46
57,14,1,4,Episode 4,52
58,14,1,5,Episode 5,49
59,15,1,1,Episode 1,48
60,15,1,2,Episode 2,50
61,15,1,3,Episode 3,46
62,15,1,4,Episode 4,52
63,15,1,5,Episode 5,49
64,16,1,1,Episode 1,48
65,16,1,2,Episode 2,50
66,16,1,3,Episode 3,46
67,16,1,4,Episode 4,52
68,16,1,5,Episode 5,49
69,17,1,1,Full Movie,118
70,18,1,1,Episode 1,48
71,18,1,2,Episode 2,50
72,18,1,3,Episode 3,46
73,18,1,4,Episode 4,52
74,18,1,5,Episode 5,49
75,19,1,1,Episode 1,48
76,19,1,2,Episode 2,50
77,19,1,3,Episode 3,46
78,19,1,4,Episode 4,52
79,19,1,5,Episode 5,49
