rating_id,user_id,show_id,rating,rating_date
1,1,19,3,2025-11-08
2,1,4,2,2025-10-31
3,2,5,5,2025-10-30
4,2,4,5,2025-09-08
5,3,11,2,2025-12-05
6,3,2,3,2025-12-31
7,4,19,2,2025-06-22
8,4,18,5,2025-11-22
9,5,10,2,2025-07-24
10,5,14,2,2025-09-03
11,6,12,2,2025-07-06
12,6,16,3,2025-03-26
13,7,19,4,2025-10-24
14,7,15,3,2025-04-25
15,8,10,5,2025-05-22
16,8,1,4,2025-04-02
17,9,6,4,2025-02-22
18,9,10,4,2025-02-24
19,10,7,5,2025-02-16
20,10,4,5,2025-12-13
21,11,10,2,2025-07-27
22,11,12,3,2025-07-18
23,12,7,5,2025-04-01
24,12,16,3,2025-06-11
25,13,18,3,2025-05-31
26,13,17,5,2025-01-22
27,14,14,3,2025-07-15
28,14,13,5,2025-02-18
29,15,17,5,2025-01-23
30,15,12,4,2025-09-24
31,16,9,2,2025-07-01
32,16,10,3,2025-06-16
33,17,14,2,2025-06-11
34,17,16,2,2025-06-01
35,18,4,2,2025-12-08
36,18,6,5,2025-04-28
37,19,11,4,2025-12-27
38,19,8,3,2025-10-18
39,20,13,3,2025-04-21
40,20,16,3,2025-04-01
41,21,17,5,2025-02-17
42,21,4,5,2025-12-16
43,22,2,2,2025-10-03
44,22,4,2,2025-05-18
45,23,3,3,2025-04-27
46,23,19,2,2025-12-23
47,24,18,4,2025-09-14
48,24,7,3,2025-09-15
49,25,8,5,2025-06-26
50,25,19,2,2025-07-16
51,26,15,4,2025-07-19
52,26,1,4,2025-03-26
53,27,18,5,2025-06-30
54,27,6,2,2025-02-15
55,28,5,3,2025-10-09
56,28,8,3,2025-06-22
57,29,11,2,2025-12-29
58,29,16,4,2025-12-19
59,30,14,2,2025-09-17
60,30,10,5,2025-07-06
