title,genre_id,show_language,release_year,content_type,age_rating
The Boys,1,English,2019,Series,16+
Panchayat,2,Hindi,2020,Series,13+
Mirzapur,3,Hindi,2018,Series,18+
Money Heist,3,Spanish,2017,Series,16+
Dark,12,German,2017,Series,16+
Interstellar,8,English,2014,Movie,13+
3 Idiots,2,Hindi,2009,Movie,U
KGF,1,Kannada,2018,Movie,16+
Stranger Things,8,English,2016,Series,16+
The Family Man,3,Hindi,2019,Series,16+
Farzi,3,Hindi,2023,Series,16+
Wednesday,12,English,2022,Series,13+
Squid Game,3,Korean,2021,Series,18+
Lucifer,12,English,2016,Series,16+
The Office,2,English,2005,Series,U
City 404,5,English,2025,Series,16+
Beyond Mars,8,English,2024,Movie,13+
Crimson Night,6,English,2023,Movie,18+
Echo Point,4,English,2022,Movie,13+
Hidden Truth,11,English,2021,Documentary,U
