viewing_id,user_id,episode_id,watch_date,watch_start_time,watch_duration_minutes,device,completion_percentage
1,5,60,2025-01-21,15:45:00,47,MOBILE,67
2,14,71,2025-03-17,15:15:00,49,TABLET,60
3,8,4,2025-05-08,12:15:00,54,MOBILE,44
4,7,54,2025-05-27,20:15:00,23,MOBILE,74
5,27,66,2025-04-11,08:30:00,39,MOBILE,49
6,20,61,2025-04-02,23:00:00,34,LAPTOP,73
7,10,51,2025-01-15,17:15:00,39,LAPTOP,44
8,25,30,2025-03-20,12:00:00,58,TABLET,88
9,30,4,2025-04-06,09:15:00,37,MOBILE,62
10,26,55,2025-03-15,08:15:00,23,TABLET,70
11,3,14,2025-01-02,15:00:00,25,TELEVISION,93
12,3,29,2025-03-14,14:00:00,37,MOBILE,64
13,1,23,2025-03-09,14:30:00,33,TABLET,63
14,14,29,2025-03-14,18:15:00,49,TELEVISION,85
15,14,48,2025-02-12,14:00:00,35,MOBILE,47
16,7,32,2025-04-13,23:30:00,45,TABLET,77
17,8,41,2025-03-31,10:45:00,60,MOBILE,79
18,12,1,2025-06-02,12:30:00,29,TABLET,83
19,28,22,2025-03-14,13:00:00,28,TABLET,63
20,17,39,2025-05-25,09:15:00,60,MOBILE,93
21,15,57,2025-01-23,15:00:00,52,TABLET,45
22,10,26,2025-02-04,13:00:00,57,LAPTOP,73
23,18,3,2025-02-21,08:30:00,25,TABLET,76
24,4,5,2025-01-19,19:00:00,59,TELEVISION,47
25,6,13,2025-01-20,21:15:00,37,TABLET,40
26,23,55,2025-02-23,17:15:00,28,TELEVISION,75
27,29,25,2025-06-15,23:00:00,58,MOBILE,62
28,29,39,2025-01-04,16:00:00,36,TELEVISION,73
29,2,65,2025-04-23,13:45:00,51,MOBILE,72
30,28,20,2025-03-17,22:30:00,37,TABLET,45
31,16,41,2025-06-07,08:30:00,56,TELEVISION,98
32,12,5,2025-03-22,09:00:00,59,TELEVISION,87
33,14,19,2025-05-21,22:15:00,47,TELEVISION,72
34,26,72,2025-02-23,23:00:00,33,TABLET,83
35,11,52,2025-01-20,11:15:00,29,TELEVISION,54
36,2,58,2025-04-28,16:15:00,56,MOBILE,44
37,12,41,2025-04-02,08:45:00,45,TABLET,75
38,2,57,2025-01-29,11:30:00,23,TABLET,100
39,12,6,2025-02-22,12:00:00,25,TELEVISION,50
40,28,39,2025-05-06,09:00:00,50,TELEVISION,91
41,13,49,2025-02-14,10:15:00,48,TELEVISION,79
42,4,54,2025-02-05,21:30:00,34,TABLET,91
43,24,23,2025-05-25,21:30:00,47,TELEVISION,78
44,17,32,2025-06-20,19:00:00,20,MOBILE,67
45,20,69,2025-01-30,08:15:00,21,MOBILE,40
46,9,73,2025-02-16,12:00:00,54,LAPTOP,84
47,13,52,2025-05-20,11:00:00,48,TELEVISION,58
48,10,56,2025-01-13,11:00:00,29,TABLET,86
49,14,18,2025-02-04,19:00:00,26,LAPTOP,54
50,18,58,2025-06-09,16:15:00,31,LAPTOP,95
51,4,35,2025-04-03,20:30:00,59,TELEVISION,100
52,26,10,2025-06-03,09:00:00,57,TABLET,99
53,24,68,2025-06-14,08:15:00,53,LAPTOP,65
54,8,76,2025-03-23,10:30:00,57,LAPTOP,89
55,10,78,2025-02-25,19:15:00,35,MOBILE,45
56,20,14,2025-02-09,09:30:00,28,MOBILE,72
57,18,29,2025-01-06,08:15:00,36,MOBILE,85
58,14,7,2025-05-02,21:45:00,32,TABLET,73
59,20,36,2025-06-30,23:00:00,40,MOBILE,66
60,5,20,2025-01-13,19:15:00,41,MOBILE,97
61,30,15,2025-05-08,19:00:00,60,LAPTOP,77
62,6,20,2025-06-20,18:30:00,25,TELEVISION,72
63,9,48,2025-03-27,18:15:00,23,MOBILE,88
64,30,13,2025-03-28,12:15:00,56,TABLET,92
65,10,18,2025-02-17,10:15:00,57,LAPTOP,44
66,14,5,2025-01-15,16:15:00,43,MOBILE,65
67,29,61,2025-06-13,21:45:00,33,LAPTOP,45
68,3,23,2025-05-30,21:00:00,51,MOBILE,58
69,19,67,2025-01-28,18:45:00,51,MOBILE,76
70,19,31,2025-03-01,10:30:00,36,LAPTOP,56
71,9,53,2025-04-05,10:00:00,41,TABLET,83
72,6,47,2025-03-13,09:45:00,60,LAPTOP,53
73,15,66,2025-05-10,13:30:00,57,LAPTOP,46
